RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,ConditionNotMet
Bad,88,324.0,18,126,17,0,100,,7,8,17,0,6,,0,4,58,5,1,1,75,True
Bad,73,164.0,10,75,7,0,100,,7,8,7,2,29,1.0,1,76,14,1,2,1,75,True
Bad,68,143.0,1,52,35,0,94,1.0,4,6,36,4,19,0.0,0,7,100,5,3,0,53,False
Good,75,203.0,2,79,41,0,98,42.0,6,6,43,4,19,1.0,2,16,9,6,2,1,73,False
Bad,59,180.0,5,55,45,1,80,0.0,4,4,49,6,65,1.0,2,20,87,7,4,0,80,False
Bad,62,298.0,16,62,30,1,97,21.0,6,3,53,0,32,,1,70,56,8,3,3,79,True
Good,70,196.13915857605178,7,64,13,1,93,29.0,6,2,14,2,36,,0,54,83,4,2,0,100,True
Good,72,302.0,36,105,13,1,93,35.0,6,2,14,0,14,0.0,0,69,58,5,2,2,83,False
Bad,69,114.0,16,54,21,0,100,,7,8,21,0,48,0.0,4,57,80,8,3,2,92,True
Good,82,156.0,21,84,12,0,100,,7,8,12,0,42,0.0,0,73,68,3,2,0,100,True
Good,77,178.0,5,80,18,0,100,,7,8,18,3,39,4.0,2,24,58,4,1,0,71,True
Bad,77,316.0,4,85,53,0,100,,7,8,57,4,21,0.0,1,20,97,10,4,3,50,True
Bad,63,137.0,5,70,10,4,92,6.0,0,2,13,1,75,,1,68,90,1,3,0,100,True
Bad,64,175.0,20,115,13,0,56,35.0,6,5,16,0,19,19.0,0,85,74,9,1,6,91,False
Bad,63,327.0,13,166,14,1,94,5.0,0,2,16,0,13,5.0,0,0,58,1,1,0,27,False
Good,75,194.0,18,89,12,0,100,,7,8,12,0,17,3.0,2,87,61,1,2,1,100,True
Good,82,187.0,11,82,28,0,96,32.0,6,6,28,1,50,4.0,2,4,59,3,2,0,56,False
Bad,57,47.0,3,31,9,1,80,13.0,6,6,11,1,40,0.0,0,72,100,3,2,1,83,False
Good,75,130.0,1,61,20,0,100,,7,8,21,3,19,0.0,0,57,98,3,3,2,43,True
Bad,69,193.0,7,62,15,0,100,,7,8,16,1,44,6.0,0,77,70,5,3,4,80,True
Bad,68,86.0,7,27,11,1,92,7.0,0,2,12,3,50,0.0,1,0,95,0,3,1,50,False
Good,86,380.0,3,138,23,0,100,,7,8,23,1,13,0.0,1,5,99,3,2,0,42,True
Bad,63,10.0,2,6,1,0,100,,7,8,2,2,50,0.0,8,64,58,1,1,1,100,True
Bad,80,202.0,44,147,5,0,100,,7,8,5,0,0,0.0,0,77,58,3,2,1,100,True
Bad,58,126.0,8,58,3,2,75,70.0,6,2,5,2,50,0.0,1,30,50,4,2,1,100,False
Bad,60,170.0,7,59,21,0,96,57.0,6,6,26,3,69,0.0,2,88,58,7,1,3,100,False
Good,78,167.0,0,66,33,0,100,,7,8,56,3,29,,0,0,76,2,4,0,43,True
Bad,59,183.0,2,72,34,0,94,4.0,4,6,35,3,37,3.0,1,43,87,8,2,3,63,False
Bad,59,153.0,18,89,31,0,79,0.0,4,5,38,0,24,,0,61,23,9,2,2,79,True
Good,69,196.13915857605178,3,128,25,1,100,,6,8,26,3,23,,1,45,81,3,3,1,50,True
Good,67,180.0,6,73,21,0,82,2.0,4,5,22,2,45,1.0,1,5,70,6,7,0,81,False
Good,79,168.0,9,58,21,0,90,76.0,6,6,21,3,38,0.0,0,27,88,5,3,0,62,False
Good,77,133.0,1,64,22,0,91,24.0,6,6,23,1,61,1.0,1,33,79,1,4,0,71,False
Good,69,196.13915857605178,8,31,7,1,78,28.0,6,2,9,2,78,,1,8,33,1,3,0,80,True
Bad,57,260.0,10,136,9,3,82,2.0,0,2,11,1,18,0.0,1,34,58,1,1,0,50,False
Bad,74,129.0,1,70,20,0,100,,7,8,22,3,32,,0,61,84,6,3,4,75,True
Bad,66,145.0,6,91,18,1,100,,6,8,19,1,21,0.0,2,67,8,7,2,3,69,True
Good,71,163.0,5,64,42,0,95,2.0,4,6,42,3,24,4.0,3,1,58,4,1,0,31,False
Good,79,209.0,29,100,22,0,100,,7,8,22,0,36,0.0,0,56,38,4,2,2,60,True
Bad,58,191.0,6,92,51,0,87,9.0,4,6,53,1,26,0.0,3,60,58,14,2,3,85,False
Bad,68,180.0,1,91,9,1,82,22.0,6,3,11,2,9,0.0,2,27,58,4,2,1,67,False
Good,74,203.0,1,66,27,0,93,3.0,4,6,30,1,20,0.0,3,2,86,2,2,0,57,False
Bad,67,152.0,21,97,25,1,96,,6,7,26,0,35,0.0,6,59,58,7,1,2,67,True
Bad,68,69.0,8,42,10,0,90,,6,7,10,1,40,0.0,2,79,72,3,2,1,100,True
Bad,73,201.0,16,108,13,0,93,12.0,6,6,14,0,21,0.0,0,47,77,6,2,1,89,False
Bad,62,76.0,1,26,14,0,83,56.0,6,5,18,7,67,0.0,2,61,92,6,4,1,100,False
Bad,83,350.0,10,101,32,0,97,13.0,6,6,32,1,19,0.0,0,2,61,3,4,0,54,False
Bad,64,8.0,7,8,2,0,100,,7,8,2,2,100,,0,30,81,4,2,1,100,True
Good,84,186.0,15,71,15,0,100,,7,8,15,0,27,0.0,0,13,75,1,2,0,50,True
Bad,71,293.0,5,74,22,1,91,5.0,4,2,23,2,13,,1,18,94,6,2,0,47,True
Bad,69,167.0,12,60,9,3,90,31.0,6,2,10,0,20,0.0,0,84,18,2,1,2,60,False
Bad,87,178.0,3,91,22,0,100,,7,8,24,2,29,2.0,6,7,68,2,2,0,44,True
Good,75,342.0,26,170,13,0,69,62.0,6,5,16,0,31,0.0,0,70,58,4,1,1,63,False
Bad,69,211.0,2,69,11,0,93,13.0,6,6,12,3,36,,2,95,77,4,3,3,100,True
Good,81,144.0,5,61,18,0,100,,7,8,20,4,25,0.0,0,42,58,3,2,0,60,True
Good,80,190.0,4,88,30,0,100,,7,8,32,2,53,,0,62,41,2,3,0,83,True
Good,88,277.0,10,127,24,0,100,,7,8,25,1,40,12.0,0,2,86,3,2,0,45,True
Bad,77,154.0,3,55,31,0,100,,7,8,32,6,63,2.0,1,26,74,5,14,0,86,True
Bad,65,180.0,2,81,7,0,73,15.0,6,5,11,2,18,0.0,0,81,58,2,1,1,100,False
Bad,88,227.0,4,90,11,0,100,,7,8,11,1,18,,1,3,58,3,1,1,50,True
Bad,67,115.0,16,55,21,0,96,14.0,6,6,26,0,58,0.0,0,56,84,5,4,1,82,False
Bad,72,220.0,7,91,36,0,100,,7,8,36,4,22,0.0,1,44,86,7,2,2,56,True
Bad,59,94.0,4,33,31,0,94,11.0,4,6,31,3,29,,0,48,96,10,3,0,76,True
Good,75,167.0,1,70,7,0,88,13.0,6,6,8,1,25,0.0,0,18,100,2,2,2,57,False
Bad,66,77.0,5,25,8,0,100,,7,8,8,5,13,0.0,1,93,72,5,1,1,100,True
Bad,76,212.0,14,87,21,0,100,,6,7,21,0,33,,0,40,85,7,2,0,90,True
Good,82,144.0,9,61,24,0,96,49.0,6,5,25,1,24,0.0,1,5,47,4,2,0,46,False
Bad,88,274.0,11,105,11,0,100,,7,8,11,1,18,0.0,0,27,1,3,1,0,67,True
Bad,67,250.0,6,103,26,0,88,1.0,4,6,26,1,35,0.0,0,79,60,4,2,2,75,False
Good,71,194.0,12,69,29,0,93,6.0,4,6,31,0,27,2.0,2,36,69,4,2,1,67,False
Bad,57,204.0,6,73,28,1,97,1.0,0,2,29,6,41,0.0,0,14,96,4,4,1,62,False
Bad,67,118.0,6,37,23,2,88,70.0,6,2,26,5,42,0.0,0,31,70,5,3,1,67,False
Bad,77,216.0,8,137,10,0,100,,7,8,10,1,0,0.0,3,49,58,4,2,2,50,True
Good,85,371.0,1,141,24,0,100,,7,8,25,2,28,0.0,0,14,56,5,2,1,70,True
Good,80,208.0,12,76,30,0,97,23.0,6,5,31,0,13,0.0,0,1,71,5,2,0,35,False
Bad,59,204.0,9,70,5,1,43,10.0,0,2,7,1,29,0.0,0,85,48,3,2,1,100,False
Good,70,300.0,2,68,33,0,94,13.0,6,6,34,1,26,0.0,1,4,69,5,5,4,69,False
Good,82,205.0,2,86,30,0,97,39.0,6,6,31,4,19,0.0,2,2,75,7,1,0,44,False
Bad,75,177.0,2,84,28,0,100,,7,8,31,3,32,,0,44,97,6,3,3,77,True
Good,76,222.0,4,85,47,0,100,,7,8,47,2,28,0.0,0,37,59,4,4,0,53,True
Good,79,236.0,6,77,37,0,95,33.0,6,6,37,1,49,0.0,0,7,79,4,4,0,73,False
Good,70,7.0,7,7,1,0,100,,7,8,1,1,100,0.0,0,30,92,4,1,1,100,True
Bad,57,346.0,25,68,13,1,73,4.0,4,6,26,0,53,9.0,0,0,53,2,4,0,67,False
Good,85,173.0,16,51,9,0,100,,7,8,28,0,0,0.0,1,13,58,4,2,0,80,True
Good,72,428.0,18,102,26,0,96,14.0,6,6,26,0,19,17.0,0,22,53,2,3,2,33,False
Good,71,142.0,10,65,22,0,100,,7,8,23,1,45,4.0,1,55,71,5,3,1,89,True
Bad,63,141.0,17,76,16,0,88,3.0,4,6,17,0,29,13.0,0,58,58,4,2,2,100,False
Good,58,214.0,20,122,6,2,54,2.0,3,3,13,0,62,,0,11,60,3,2,0,83,True
Bad,83,92.0,2,41,18,0,100,,7,8,19,7,32,,0,13,92,7,2,0,69,True
Bad,72,140.0,13,61,13,0,100,,7,8,13,0,8,,3,51,58,3,2,1,60,True
Good,83,151.0,6,82,27,0,100,,7,8,27,2,44,0.0,0,17,101,2,2,0,80,True
Good,89,180.0,11,77,37,0,100,,7,8,41,1,24,5.0,1,1,58,3,1,0,29,True
Bad,59,117.0,18,73,7,1,50,17.0,6,2,8,0,50,0.0,0,76,58,1,3,1,80,False
Bad,58,164.0,2,88,17,3,86,4.0,4,4,24,2,41,0.0,4,24,59,4,3,1,78,False
Good,66,272.0,2,95,44,0,100,,7,8,49,3,29,0.0,4,63,64,16,4,6,80,True
Good,78,192.0,3,91,55,0,98,12.0,6,6,57,2,18,3.0,1,1,58,9,1,0,28,False
Bad,91,291.0,7,88,26,0,100,,7,8,26,2,35,7.0,0,0,58,3,2,0,23,True
Good,85,389.0,8,97,29,0,100,,7,8,30,2,33,0.0,1,18,76,5,1,0,40,True
Bad,56,150.0,12,80,22,0,83,1.0,4,6,23,0,13,0.0,0,85,58,8,2,4,100,False
Good,81,342.0,16,129,14,1,94,50.0,6,2,18,0,39,0.0,0,2,14,1,3,0,100,False
Good,70,316.0,2,104,37,0,100,,7,8,38,4,5,2.0,2,43,99,8,2,2,56,True
Good,92,211.0,20,124,33,0,100,,7,8,34,0,15,,0,0,58,2,1,0,27,True
Good,70,327.0,4,82,37,0,100,,7,8,37,4,16,0.0,2,31,88,7,3,3,56,True
Bad,57,74.0,5,30,14,0,94,63.0,6,5,16,3,44,0.0,0,96,61,7,2,1,91,False
Good,63,135.0,36,70,7,0,55,1.0,4,5,11,0,55,8.0,0,23,33,1,3,1,80,False
Good,73,134.0,3,55,26,0,100,,7,8,26,5,35,6.0,0,64,33,4,2,2,64,True
Good,84,320.0,2,121,24,0,100,,7,8,25,2,28,,2,6,58,4,2,1,50,True
Bad,83,416.0,16,175,25,0,93,44.0,6,5,27,0,11,,0,22,58,6,1,0,64,True
Bad,56,135.0,12,74,34,0,91,3.0,4,5,35,0,20,0.0,9,55,48,8,3,3,61,False
Bad,65,157.0,6,44,13,0,93,30.0,6,5,14,4,36,4.0,1,23,80,3,2,1,67,False
Bad,56,126.0,15,66,22,2,86,0.0,4,6,22,0,23,14.0,0,21,60,4,2,0,55,False
Bad,84,215.0,8,73,25,0,93,38.0,6,5,27,1,41,20.0,0,0,58,0,2,0,17,False
Good,86,178.0,7,75,19,0,100,,7,8,19,2,16,0.0,1,11,58,6,2,0,46,True
Good,80,360.0,2,114,27,0,97,25.0,6,6,29,2,62,0.0,1,10,100,3,2,2,63,False
Good,66,272.0,3,91,27,1,89,5.0,4,6,29,3,11,1.0,5,20,58,3,1,0,27,False
Bad,72,259.0,7,82,41,0,100,,7,8,41,3,22,0.0,8,37,80,10,2,2,60,True
Bad,76,138.0,5,48,20,0,100,,7,8,20,2,35,0.0,0,40,72,2,2,1,50,True
Bad,80,94.0,3,49,27,0,100,,7,8,28,1,14,0.0,2,21,58,4,1,0,45,True
Good,67,83.0,2,36,30,0,97,25.0,6,6,32,8,44,0.0,3,39,89,4,8,0,80,False
Bad,59,166.0,13,72,16,1,68,3.0,4,2,19,0,42,11.0,0,42,73,4,3,2,78,False
Bad,49,198.0,6,95,12,2,55,1.0,4,4,20,2,35,0.0,2,60,58,6,1,1,78,False
Bad,65,302.0,16,91,43,2,91,11.0,4,2,45,0,44,0.0,0,25,61,10,4,1,67,False
Good,87,269.0,3,113,25,0,100,,7,8,57,3,27,2.0,1,9,58,4,1,0,33,True
Good,87,155.0,4,70,35,0,100,,7,8,36,1,19,0.0,0,2,58,2,1,0,20,True
Good,84,373.0,16,107,32,0,100,,7,8,32,0,38,0.0,1,14,30,7,5,0,67,True
Good,74,250.0,18,81,19,0,100,,7,8,20,0,20,0.0,1,69,54,6,3,2,69,True
Bad,62,123.0,4,51,13,0,80,10.0,3,5,16,2,40,7.0,0,97,93,2,4,2,100,False
Good,68,172.0,3,74,23,0,92,5.0,3,5,28,4,28,2.0,2,6,98,1,2,0,25,False
Bad,58,94.0,7,45,7,2,88,13.0,6,4,9,1,63,0.0,1,81,58,2,1,0,75,False
Bad,78,138.0,5,55,20,0,100,,7,8,20,4,25,8.0,0,30,58,2,1,1,23,True
Bad,64,157.0,2,38,6,4,88,33.0,6,2,8,2,50,,1,34,95,3,2,0,83,True
Bad,65,64.0,6,40,14,0,100,,7,8,14,1,36,0.0,1,95,58,3,2,3,86,True
Bad,80,225.0,19,111,18,0,100,,7,8,20,0,55,0.0,2,5,76,3,1,0,80,True
Bad,73,169.0,7,76,12,1,86,9.0,1,3,14,3,14,1.0,5,14,58,1,2,0,33,False
Good,71,157.0,4,75,39,0,95,9.0,3,5,44,2,50,4.0,3,10,65,4,4,0,50,False
Bad,56,189.0,10,90,27,0,69,2.0,4,6,29,1,31,0.0,2,62,58,7,1,2,67,False
Bad,64,30.0,13,20,3,0,67,13.0,6,6,4,0,100,0.0,0,30,72,4,3,1,100,False
Good,76,163.0,15,66,47,0,100,,7,8,47,0,21,0.0,4,9,82,5,6,1,58,True
Bad,54,111.0,3,67,6,2,55,3.0,0,2,11,2,0,0.0,4,90,58,4,2,3,83,False
Good,88,161.0,4,97,29,0,100,,7,8,33,3,48,0.0,2,7,58,1,1,0,33,True
Good,77,218.0,17,116,28,0,97,25.0,6,6,29,0,31,0.0,0,6,86,6,2,1,69,False
Bad,60,214.0,8,86,29,1,94,1.0,4,4,31,2,26,0.0,1,71,23,3,4,1,62,False
Good,84,192.0,22,95,18,0,100,,7,8,18,0,22,14.0,0,18,63,2,2,0,44,True
Bad,55,321.0,3,102,7,0,64,2.0,4,5,11,1,27,0.0,0,87,100,3,2,2,100,False
Good,82,231.0,13,158,15,0,100,,7,8,17,0,24,,1,31,58,4,1,1,56,True
Bad,58,138.0,15,65,9,6,60,14.0,6,2,17,0,60,0.0,0,38,58,3,1,0,80,False
Bad,62,140.0,10,75,6,2,50,6.0,1,2,10,1,50,0.0,2,52,89,2,2,1,100,False
Good,80,263.0,6,106,26,0,92,14.0,6,6,26,2,23,0.0,0,14,17,4,2,1,54,False
Bad,68,155.0,13,48,10,2,90,8.0,4,6,12,0,40,0.0,0,59,49,3,4,0,100,False
Good,74,390.0,1,98,37,0,100,,7,8,38,5,24,0.0,3,22,64,4,1,1,33,True
Bad,67,259.0,6,91,41,0,93,0.0,4,6,53,1,26,,0,51,58,7,1,3,83,True
Good,64,233.0,6,89,39,0,100,,7,8,39,1,33,0.0,1,63,82,7,7,3,78,True
Good,82,336.0,4,106,23,0,100,,7,8,23,1,22,0.0,2,2,56,2,2,0,31,True
Good,57,232.0,3,83,21,0,63,0.0,4,6,24,3,29,4.0,1,90,36,10,2,4,93,False
Good,86,235.0,7,111,20,0,100,,7,8,20,1,25,0.0,0,12,70,7,2,0,90,True
Good,88,331.0,3,113,20,0,100,,7,8,28,1,24,7.0,0,10,58,4,3,0,70,True
Good,62,172.0,7,70,37,1,90,7.0,4,5,60,2,63,,0,44,53,6,3,1,71,True
Good,89,274.0,11,125,15,0,100,,7,8,15,1,20,16.0,0,6,96,3,2,0,50,True
Bad,75,194.0,2,78,12,0,100,,7,8,13,2,62,,1,97,86,4,3,3,100,True
Good,73,131.0,6,54,11,0,100,,7,8,11,1,27,0.0,2,76,98,5,1,2,100,True
Bad,63,380.0,3,94,20,2,100,,0,8,20,3,50,0.0,7,37,35,5,2,1,78,True
Bad,69,306.0,8,48,21,0,91,18.0,6,6,37,1,27,,1,38,77,5,3,2,50,True
Good,78,263.0,23,102,19,0,95,31.0,6,6,19,0,42,14.0,0,17,29,6,3,0,82,False
Good,78,311.0,5,72,17,0,100,,7,8,17,3,35,,1,32,58,2,2,1,57,True
Good,63,207.0,5,87,19,0,100,,7,8,20,2,20,0.0,2,10,32,3,3,0,46,True
Bad,75,125.0,10,64,7,0,86,6.0,4,6,7,1,43,10.0,0,5,79,1,2,0,60,False
Good,90,230.0,9,84,26,0,100,,7,8,28,2,57,9.0,0,1,85,1,3,0,44,True
Good,59,189.0,3,107,16,0,60,8.0,4,5,20,1,25,,0,78,96,5,2,2,88,True
Good,92,279.0,1,167,4,0,100,,7,8,5,1,0,0.0,0,4,58,2,2,0,100,True
Bad,83,160.0,12,83,24,0,96,24.0,6,5,26,0,19,0.0,0,1,19,4,2,0,46,False
Good,84,184.0,4,98,22,0,100,,7,8,23,1,57,0.0,2,6,58,2,2,0,50,True
Bad,65,79.0,22,54,6,0,75,8.0,4,5,8,0,38,,1,77,58,4,1,0,100,True
Bad,61,344.0,2,87,21,1,86,2.0,4,6,22,5,45,,4,39,77,2,6,1,67,True
Good,85,142.0,75,106,4,0,100,,7,8,4,0,0,0.0,0,37,58,4,2,0,100,True
Bad,60,21.0,9,13,3,1,100,,6,8,3,2,33,,0,94,58,2,1,2,100,True
Good,85,192.0,5,92,24,0,100,,7,8,26,2,46,5.0,1,2,91,4,2,0,67,True
Good,84,140.0,5,74,22,0,100,,7,8,24,2,14,0.0,1,36,22,1,2,0,30,True
Good,85,251.0,3,66,56,0,100,,7,8,61,4,26,0.0,4,1,58,7,1,0,36,True
Good,80,261.0,8,104,22,0,100,,7,8,22,1,59,,1,39,76,3,2,1,71,True
Good,69,183.0,7,46,21,1,86,20.0,6,2,22,2,45,0.0,1,36,75,1,4,0,56,False
Bad,72,247.0,5,93,19,1,90,6.0,4,3,23,3,19,0.0,4,46,89,2,2,1,67,False
Good,61,159.0,10,30,12,1,100,,6,8,37,2,33,10.0,0,55,66,4,2,0,100,True
Bad,50,214.0,3,77,22,0,83,1.0,4,6,24,3,46,0.0,2,82,69,12,6,6,100,False
Good,54,123.0,6,54,21,0,88,4.0,4,6,26,3,42,0.0,0,63,45,4,3,1,78,False
Bad,72,216.0,2,79,23,1,85,40.0,6,2,27,4,41,0.0,0,47,58,3,2,1,56,False
Good,83,364.0,3,106,22,1,91,27.0,6,3,28,2,13,0.0,4,17,58,4,1,0,63,False
Bad,84,73.0,6,40,6,0,100,,7,8,6,1,67,0.0,1,1,91,1,2,0,100,True
Bad,61,196.13915857605178,3,58,12,4,83,18.0,6,6,12,2,33,0.0,2,68,65,4,3,0,64,False
Good,69,138.0,22,71,8,1,80,38.0,6,5,10,0,70,0.0,3,30,39,4,2,1,100,False
Bad,87,213.0,5,90,15,0,100,,7,8,15,2,27,0.0,1,3,58,4,1,0,56,True
Good,91,538.0,47,212,12,0,100,,7,8,12,0,17,0.0,0,4,58,1,2,0,14,True
Bad,73,168.0,6,75,25,0,100,,7,8,25,2,52,0.0,0,91,66,3,3,1,75,True
Good,70,204.0,20,114,27,0,85,4.0,4,6,27,0,19,0.0,0,8,58,2,1,0,50,False
Bad,70,37.0,4,20,19,0,100,,7,8,20,2,20,0.0,3,42,73,2,2,1,50,True
Bad,65,146.0,7,58,29,1,97,13.0,6,6,33,1,39,,5,7,88,1,2,0,33,True
Bad,65,56.0,1,35,37,0,100,,7,8,39,3,13,0.0,0,65,93,15,2,8,62,True
Bad,81,158.0,13,71,34,0,97,42.0,6,6,37,0,42,1.0,1,9,86,3,5,0,47,False
Bad,59,187.0,2,62,17,0,80,50.0,6,5,20,4,20,20.0,0,69,58,9,1,3,85,False
Bad,73,85.0,6,38,10,0,100,,7,8,10,2,50,0.0,1,81,58,1,1,0,50,True
Bad,75,70.0,1,38,8,0,100,,7,8,9,1,78,0.0,3,17,58,2,1,1,100,True
Good,73,135.0,3,93,6,1,75,79.0,6,4,12,1,67,1.0,3,0,118,0,2,1,67,False
Bad,66,188.0,3,80,17,0,88,4.0,4,6,17,3,82,1.0,3,6,95,1,7,1,89,False
Bad,66,187.0,4,38,18,0,95,62.0,6,5,22,5,36,0.0,4,46,79,6,4,1,92,False
Good,80,255.0,3,55,23,0,100,,7,8,23,3,17,2.0,5,2,58,2,1,0,20,True
Good,77,161.0,2,69,20,0,96,25.0,6,6,23,3,4,16.0,0,14,58,4,2,1,38,False
Good,61,308.0,3,67,58,1,98,10.0,0,2,71,8,21,4.0,1,53,41,3,3,0,64,False
Bad,73,163.0,13,85,27,0,97,52.0,6,6,29,0,41,0.0,0,34,39,4,2,2,60,False
Bad,71,218.0,22,75,22,0,96,27.0,6,5,24,0,39,1.0,2,3,23,4,1,1,56,False
Good,87,304.0,7,91,23,0,100,,7,8,24,1,63,0.0,0,8,73,5,2,0,78,True
Good,90,240.0,1,96,20,0,100,,7,8,22,1,32,0.0,0,0,77,2,3,0,36,True
Good,83,183.0,14,73,17,0,100,,7,8,17,0,35,14.0,0,20,58,3,1,0,44,True
Good,88,166.0,3,92,10,0,100,,7,8,10,1,40,0.0,2,0,96,0,1,0,25,True
Good,80,173.0,8,62,17,0,100,,7,8,18,2,67,0.0,1,21,93,3,3,0,100,True
Good,73,354.0,13,80,25,0,100,,7,8,25,0,8,15.0,0,36,58,10,1,2,61,True
Bad,69,71.0,9,38,11,1,100,,7,8,12,1,55,0.0,0,39,69,2,3,1,63,True
