RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,88,324,18,126,17,0,100,122.0,7,7,17,0,6,35,0,4,,5,1,1,75,False,False,100.0,12
Bad,73,164,10,75,7,0,100,122.0,7,7,7,2,29,1,1,76,14.0,1,2,1,75,False,False,100.0,5
Bad,68,143,1,52,35,0,94,1.0,6,6,36,4,19,0,0,7,100.0,5,3,0,53,True,True,97.0,19
Good,75,203,2,79,41,0,98,42.0,7,6,43,4,19,1,2,16,9.0,6,2,1,73,True,False,95.0,31
Bad,59,180,5,55,45,1,80,0.0,6,4,49,6,65,1,2,20,87.0,7,4,0,80,True,True,92.0,39
Bad,62,298,16,62,30,1,97,21.0,7,3,53,0,32,35,1,70,56.0,8,3,3,79,True,False,57.0,41
Good,70,181,7,64,13,1,93,29.0,7,2,14,2,36,35,0,54,83.0,4,2,0,100,True,False,93.0,14
Good,72,302,36,105,13,1,93,35.0,7,2,14,0,14,0,0,69,,5,2,2,83,True,False,93.0,11
Bad,69,114,16,54,21,0,100,122.0,7,7,21,0,48,0,4,57,80.0,8,3,2,92,False,False,100.0,19
Good,82,156,21,84,12,0,100,122.0,7,7,12,0,42,0,0,73,68.0,3,2,0,100,False,False,100.0,12
Good,77,178,5,80,18,0,100,122.0,7,7,18,3,39,4,2,24,,4,1,0,71,False,False,100.0,12
Bad,77,316,4,85,53,0,100,122.0,7,7,57,4,21,0,1,20,97.0,10,4,3,50,False,False,93.0,28
Bad,63,137,5,70,10,4,92,6.0,2,2,13,1,75,35,1,68,90.0,1,3,0,100,True,True,77.0,13
Bad,64,175,20,115,13,0,56,35.0,7,5,16,0,19,19,0,85,74.0,9,1,6,91,True,False,81.0,14
Bad,63,327,13,166,14,1,94,5.0,2,2,16,0,13,5,0,0,,1,1,0,27,True,True,88.0,4
Good,75,194,18,89,12,0,100,122.0,7,7,12,0,17,3,2,87,61.0,1,2,1,100,False,False,100.0,12
Good,82,187,11,82,28,0,96,32.0,7,6,28,1,50,4,2,4,59.0,3,2,0,56,True,False,100.0,15
Bad,57,47,3,31,9,1,80,13.0,7,6,11,1,40,0,0,72,100.0,3,2,1,83,True,False,82.0,9
Good,75,130,1,61,20,0,100,122.0,7,7,21,3,19,0,0,57,98.0,3,3,2,43,False,False,95.0,9
Bad,69,193,7,62,15,0,100,122.0,7,7,16,1,44,6,0,77,70.0,5,3,4,80,False,False,94.0,12
Bad,68,86,7,27,11,1,92,7.0,2,2,12,3,50,0,1,0,95.0,0,3,1,50,True,True,92.0,6
Good,86,380,3,138,23,0,100,122.0,7,7,23,1,13,0,1,5,99.0,3,2,0,42,False,False,100.0,9
Bad,63,10,2,6,1,0,100,122.0,7,7,2,2,50,0,8,64,,1,1,1,100,False,False,50.0,2
Bad,80,202,44,147,5,0,100,122.0,7,7,5,0,0,0,0,77,,3,2,1,100,False,False,100.0,5
Bad,58,126,8,58,3,2,75,70.0,7,2,5,2,50,0,1,30,50.0,4,2,1,100,True,False,60.0,5
Bad,60,170,7,59,21,0,96,57.0,7,6,26,3,69,0,2,88,,7,1,3,100,True,False,81.0,26
Good,78,167,0,66,33,0,100,122.0,7,7,56,3,29,35,0,0,76.0,2,4,0,43,False,False,59.0,24
Bad,59,183,2,72,34,0,94,4.0,6,6,35,3,37,3,1,43,87.0,8,2,3,63,True,True,97.0,22
Bad,59,153,18,89,31,0,79,0.0,6,5,38,0,24,35,0,61,23.0,9,2,2,79,True,True,82.0,30
Good,67,180,6,73,21,0,82,2.0,6,5,22,2,45,1,1,5,70.0,6,7,0,81,True,True,95.0,17
Good,79,168,9,58,21,0,90,76.0,7,6,21,3,38,0,0,27,88.0,5,3,0,62,True,False,100.0,13
Good,77,133,1,64,22,0,91,24.0,7,6,23,1,61,1,1,33,79.0,1,4,0,71,True,False,96.0,16
Good,69,181,8,31,7,1,78,28.0,7,2,9,2,78,35,1,8,33.0,1,3,0,80,True,False,78.0,7
Bad,57,260,10,136,9,3,82,2.0,2,2,11,1,18,0,1,34,,1,1,0,50,True,True,82.0,5
Bad,74,129,1,70,20,0,100,122.0,7,7,22,3,32,35,0,61,84.0,6,3,4,75,False,False,91.0,16
Good,71,163,5,64,42,0,95,2.0,6,6,42,3,24,4,3,1,,4,1,0,31,True,True,100.0,13
Good,79,209,29,100,22,0,100,122.0,7,7,22,0,36,0,0,56,38.0,4,2,2,60,False,False,100.0,13
Bad,58,191,6,92,51,0,87,9.0,6,6,53,1,26,0,3,60,58.0,14,2,3,85,True,True,96.0,45
Bad,68,180,1,91,9,1,82,22.0,7,3,11,2,9,0,2,27,,4,2,1,67,True,False,82.0,7
Good,74,203,1,66,27,0,93,3.0,6,6,30,1,20,0,3,2,86.0,2,2,0,57,True,True,90.0,17
Bad,73,201,16,108,13,0,93,12.0,7,6,14,0,21,0,0,47,77.0,6,2,1,89,True,False,93.0,12
Bad,62,76,1,26,14,0,83,56.0,7,5,18,7,67,0,2,61,92.0,6,4,1,100,True,False,78.0,18
Bad,83,350,10,101,32,0,97,67.5,7,6,32,1,19,0,0,2,61.0,3,4,0,54,True,False,100.0,17
Good,84,186,15,71,15,0,100,122.0,7,7,15,0,27,0,0,13,75.0,1,2,0,50,False,False,100.0,7
Bad,71,293,5,74,22,1,91,5.0,6,2,23,2,13,35,1,18,94.0,6,2,0,47,True,True,96.0,10
Bad,69,167,12,60,9,3,90,31.0,7,2,10,0,20,0,0,84,18.0,2,1,2,60,True,False,90.0,6
Bad,87,178,3,91,22,0,100,122.0,7,7,24,2,29,2,6,7,68.0,2,2,0,44,False,False,92.0,10
Good,75,342,26,170,13,0,69,62.0,7,5,16,0,31,0,0,70,,4,1,1,63,True,False,81.0,10
Bad,69,211,2,69,11,0,93,67.5,7,6,12,3,36,35,2,95,77.0,4,3,3,100,True,False,92.0,12
Good,81,144,5,61,18,0,100,122.0,7,7,20,4,25,0,0,42,,3,2,0,60,False,False,90.0,12
Good,80,190,4,88,30,0,100,122.0,7,7,32,2,53,35,0,62,41.0,2,3,0,83,False,False,94.0,26
Good,88,277,10,127,24,0,100,122.0,7,7,25,1,40,12,0,2,86.0,3,2,0,45,False,False,96.0,11
Bad,77,154,3,55,31,0,100,122.0,7,7,32,6,63,2,1,26,74.0,5,14,0,86,False,False,97.0,27
Bad,65,180,2,81,7,0,73,15.0,7,5,11,2,18,0,0,81,,2,1,1,100,True,False,64.0,11
Bad,88,227,4,90,11,0,100,122.0,7,7,11,1,18,35,1,3,,3,1,1,50,False,False,100.0,5
Bad,67,115,16,55,21,0,96,14.0,7,6,26,0,58,0,0,56,84.0,5,4,1,82,True,False,81.0,21
Bad,72,220,7,91,36,0,100,122.0,7,7,36,4,22,0,1,44,86.0,7,2,2,56,False,False,100.0,20
Bad,59,94,4,33,31,0,94,11.0,6,6,31,3,29,35,0,48,96.0,10,3,0,76,True,True,100.0,23
Good,75,167,1,70,7,0,88,67.5,7,6,8,1,25,0,0,18,100.0,2,2,2,57,True,False,88.0,4
Bad,66,77,5,25,8,0,100,122.0,7,7,8,5,13,0,1,93,72.0,5,1,1,100,False,False,100.0,8
Bad,76,212,14,87,21,0,100,122.0,7,7,21,0,33,35,0,40,85.0,7,2,0,90,False,False,100.0,18
Good,82,144,9,61,24,0,96,49.0,7,5,25,1,24,0,1,5,47.0,4,2,0,46,True,False,96.0,11
Bad,88,274,11,105,11,0,100,122.0,7,7,11,1,18,0,0,27,1.0,3,1,0,67,False,False,100.0,7
Bad,67,250,6,103,26,0,88,1.0,6,6,26,1,35,0,0,79,60.0,4,2,2,75,True,True,100.0,19
Good,71,194,12,69,29,0,93,6.0,6,6,31,0,27,2,2,36,69.0,4,2,1,67,True,True,94.0,20
Bad,57,204,6,73,28,1,97,1.0,2,2,29,6,41,0,0,14,96.0,4,4,1,62,True,True,97.0,17
Bad,67,118,6,37,23,2,88,70.0,7,2,26,5,42,0,0,31,70.0,5,3,1,67,True,False,88.0,17
Bad,77,216,8,137,10,0,100,122.0,7,7,10,1,0,0,3,49,,4,2,2,50,False,False,100.0,5
Good,85,371,1,141,24,0,100,122.0,7,7,25,2,28,0,0,14,56.0,5,2,1,70,False,False,96.0,17
Good,80,208,12,76,30,0,97,23.0,7,5,31,0,13,0,0,1,71.0,5,2,0,35,True,False,97.0,10
Bad,59,204,9,70,5,1,43,10.0,2,2,7,1,29,0,0,85,48.0,3,2,1,100,True,True,71.0,7
Good,70,300,2,68,33,0,94,13.0,7,6,34,1,26,0,1,4,69.0,5,5,4,69,True,False,97.0,23
Good,82,205,2,86,30,0,97,39.0,7,6,31,4,19,0,2,2,75.0,7,1,0,44,True,False,97.0,13
Bad,75,177,2,84,28,0,100,122.0,7,7,31,3,32,35,0,44,97.0,6,3,3,77,False,False,90.0,23
Good,76,222,4,85,47,0,100,122.0,7,7,47,2,28,0,0,37,59.0,4,4,0,53,False,False,100.0,24
Good,79,236,6,77,37,0,95,33.0,7,6,37,1,49,0,0,7,79.0,4,4,0,73,True,False,100.0,27
Bad,57,346,25,68,13,1,73,4.0,6,6,26,0,53,9,0,0,53.0,2,4,0,67,True,True,50.0,17
Good,85,173,16,51,9,0,100,122.0,7,7,28,0,0,0,1,13,,4,2,0,80,False,False,32.0,22
Good,72,428,18,102,26,0,96,14.0,7,6,26,0,19,17,0,22,53.0,2,3,2,33,True,False,100.0,8
Good,71,142,10,65,22,0,100,122.0,7,7,23,1,45,4,1,55,71.0,5,3,1,89,False,False,96.0,20
Bad,63,141,17,76,16,0,88,3.0,6,6,17,0,29,13,0,58,,4,2,2,100,True,True,94.0,17
Good,58,214,20,122,6,2,54,2.0,6,3,13,0,62,35,0,11,60.0,3,2,0,83,True,True,46.0,10
Bad,83,92,2,41,18,0,100,122.0,7,7,19,7,32,35,0,13,92.0,7,2,0,69,False,False,95.0,13
Bad,72,140,13,61,13,0,100,122.0,7,7,13,0,8,35,3,51,,3,2,1,60,False,False,100.0,7
Good,83,151,6,82,27,0,100,122.0,7,7,27,2,44,0,0,17,101.0,2,2,0,80,False,False,100.0,21
Good,89,180,11,77,37,0,100,122.0,7,7,41,1,24,5,1,1,,3,1,0,29,False,False,90.0,11
Bad,59,117,18,73,7,1,50,17.0,7,2,8,0,50,0,0,76,58.0,1,3,1,80,True,False,88.0,6
Bad,58,164,2,88,17,3,86,4.0,6,4,24,2,41,0,4,24,59.0,4,3,1,78,True,True,71.0,18
Good,66,272,2,95,44,0,100,122.0,7,7,49,3,29,0,4,63,64.0,16,4,6,80,False,False,90.0,39
Good,78,192,3,91,55,0,98,12.0,7,6,57,2,18,3,1,1,,9,1,0,28,True,False,96.0,15
Bad,91,291,7,88,26,0,100,122.0,7,7,26,2,35,7,0,0,,3,2,0,23,False,False,100.0,5
Good,85,389,8,97,29,0,100,122.0,7,7,30,2,33,0,1,18,76.0,5,1,0,40,False,False,97.0,12
Bad,56,150,12,80,22,0,83,1.0,6,6,23,0,13,0,0,85,,8,2,4,100,True,True,96.0,23
Good,81,342,16,129,14,1,94,50.0,7,2,18,0,39,0,0,2,14.0,1,3,0,100,True,False,78.0,18
Good,70,316,2,104,37,0,100,122.0,7,7,38,4,5,2,2,43,99.0,8,2,2,56,False,False,97.0,21
Good,92,211,20,124,33,0,100,122.0,7,7,34,0,15,35,0,0,,2,1,0,27,False,False,97.0,9
Good,70,327,4,82,37,0,100,122.0,7,7,37,4,16,0,2,31,88.0,7,3,3,56,False,False,100.0,20
Bad,57,74,5,30,14,0,94,63.0,7,5,16,3,44,0,0,96,61.0,7,2,1,91,True,False,88.0,14
Good,63,135,36,70,7,0,55,1.0,6,5,11,0,55,8,0,23,33.0,1,3,1,80,True,True,64.0,8
Good,73,134,3,55,26,0,100,122.0,7,7,26,5,35,6,0,64,33.0,4,2,2,64,False,False,100.0,16
Good,84,320,2,121,24,0,100,122.0,7,7,25,2,28,35,2,6,,4,2,1,50,False,False,96.0,12
Bad,83,416,16,175,25,0,93,44.0,7,5,27,0,11,35,0,22,,6,1,0,64,True,False,93.0,17
Bad,56,135,12,74,34,0,91,3.0,6,5,35,0,20,0,9,55,48.0,8,3,3,61,True,True,97.0,21
Bad,65,157,6,44,13,0,93,30.0,7,5,14,4,36,4,1,23,80.0,3,2,1,67,True,False,93.0,9
Bad,56,126,15,66,22,2,86,0.0,6,6,22,0,23,14,0,21,60.0,4,2,0,55,True,True,100.0,12
Bad,84,215,8,73,25,0,93,38.0,7,5,27,1,41,20,0,0,,0,2,0,17,True,False,93.0,4
Good,86,178,7,75,19,0,100,122.0,7,7,19,2,16,0,1,11,,6,2,0,46,False,False,100.0,8
Good,80,360,2,114,27,0,97,25.0,7,6,29,2,62,0,1,10,100.0,3,2,2,63,True,False,93.0,18
Good,66,272,3,91,27,1,89,5.0,6,6,29,3,11,1,5,20,,3,1,0,27,True,True,93.0,7
Bad,72,259,7,82,41,0,100,122.0,7,7,41,3,22,0,8,37,80.0,10,2,2,60,False,False,100.0,24
Bad,76,138,5,48,20,0,100,122.0,7,7,20,2,35,0,0,40,72.0,2,2,1,50,False,False,100.0,10
Bad,80,94,3,49,27,0,100,122.0,7,7,28,1,14,0,2,21,,4,1,0,45,False,False,96.0,12
Good,67,83,2,36,30,0,97,25.0,7,6,32,8,44,0,3,39,89.0,4,8,0,80,True,False,94.0,25
Bad,59,166,13,72,16,1,68,3.0,6,2,19,0,42,11,0,42,73.0,4,3,2,78,True,True,84.0,14
Bad,49,198,6,95,12,2,55,1.0,6,4,20,2,35,0,2,60,,6,1,1,78,True,True,60.0,15
Bad,65,302,16,91,43,2,91,11.0,6,2,45,0,44,0,0,25,61.0,10,4,1,67,True,True,96.0,30
Good,87,269,3,113,25,0,100,122.0,7,7,57,3,27,2,1,9,,4,1,0,33,False,False,44.0,18
Good,87,155,4,70,35,0,100,122.0,7,7,36,1,19,0,0,2,,2,1,0,20,False,False,97.0,7
Good,84,373,16,107,32,0,100,122.0,7,7,32,0,38,0,1,14,30.0,7,5,0,67,False,False,100.0,21
Good,74,250,18,81,19,0,100,122.0,7,7,20,0,20,0,1,69,54.0,6,3,2,69,False,False,95.0,13
Bad,62,123,4,51,13,0,80,10.0,6,5,16,2,40,7,0,97,93.0,2,4,2,100,True,True,81.0,16
Good,68,172,3,74,23,0,92,5.0,6,5,28,4,28,2,2,6,98.0,1,2,0,25,True,True,82.0,7
Bad,58,94,7,45,7,2,88,67.5,7,4,9,1,63,0,1,81,,2,1,0,75,True,False,78.0,6
Bad,78,138,5,55,20,0,100,122.0,7,7,20,4,25,8,0,30,,2,1,1,23,False,False,100.0,4
Bad,64,157,2,38,6,4,88,33.0,7,2,8,2,50,35,1,34,95.0,3,2,0,83,True,False,75.0,6
Bad,65,64,6,40,14,0,100,122.0,7,7,14,1,36,0,1,95,,3,2,3,86,False,False,100.0,12
Bad,80,225,19,111,18,0,100,122.0,7,7,20,0,55,0,2,5,76.0,3,1,0,80,False,False,90.0,16
Bad,73,169,7,76,12,1,86,9.0,3,3,14,3,14,1,5,14,,1,2,0,33,True,True,86.0,4
Good,71,157,4,75,39,0,95,9.0,6,5,44,2,50,4,3,10,65.0,4,4,0,50,True,True,89.0,22
Bad,56,189,10,90,27,0,69,2.0,6,6,29,1,31,0,2,62,,7,1,2,67,True,True,93.0,19
Bad,64,30,13,20,3,0,67,67.5,7,6,4,0,100,0,0,30,72.0,4,3,1,100,True,False,75.0,4
Good,76,163,15,66,47,0,100,122.0,7,7,47,0,21,0,4,9,82.0,5,6,1,58,False,False,100.0,27
Bad,54,111,3,67,6,2,55,3.0,2,2,11,2,0,0,4,90,,4,2,3,83,True,True,55.0,9
Good,88,161,4,97,29,0,100,122.0,7,7,33,3,48,0,2,7,,1,1,0,33,False,False,88.0,10
Good,77,218,17,116,28,0,97,25.0,7,6,29,0,31,0,0,6,86.0,6,2,1,69,True,False,97.0,20
Bad,60,214,8,86,29,1,94,1.0,6,4,31,2,26,0,1,71,23.0,3,4,1,62,True,True,94.0,19
Good,84,192,22,95,18,0,100,122.0,7,7,18,0,22,14,0,18,63.0,2,2,0,44,False,False,100.0,7
Bad,55,321,3,102,7,0,64,2.0,6,5,11,1,27,0,0,87,100.0,3,2,2,100,True,True,64.0,11
Good,82,231,13,158,15,0,100,122.0,7,7,17,0,24,35,1,31,,4,1,1,56,False,False,88.0,9
Bad,58,138,15,65,9,6,60,14.0,7,2,17,0,60,0,0,38,,3,1,0,80,True,False,53.0,13
Bad,62,140,10,75,6,2,50,6.0,3,2,10,1,50,0,2,52,89.0,2,2,1,100,True,True,60.0,10
Good,80,263,6,106,26,0,92,14.0,7,6,26,2,23,0,0,14,17.0,4,2,1,54,True,False,100.0,14
Bad,68,155,13,48,10,2,90,8.0,6,6,12,0,40,0,0,59,49.0,3,4,0,100,True,True,83.0,12
Good,74,390,1,98,37,0,100,122.0,7,7,38,5,24,0,3,22,64.0,4,1,1,33,False,False,97.0,12
Good,64,233,6,89,39,0,100,122.0,7,7,39,1,33,0,1,63,82.0,7,7,3,78,False,False,100.0,30
Good,82,336,4,106,23,0,100,122.0,7,7,23,1,22,0,2,2,56.0,2,2,0,31,False,False,100.0,7
Good,86,235,7,111,20,0,100,122.0,7,7,20,1,25,0,0,12,70.0,7,2,0,90,False,False,100.0,18
Good,88,331,3,113,20,0,100,122.0,7,7,28,1,24,7,0,10,,4,3,0,70,False,False,71.0,19
Good,62,172,7,70,37,1,90,7.0,6,5,60,2,63,35,0,44,53.0,6,3,1,71,True,True,62.0,42
Good,89,274,11,125,15,0,100,122.0,7,7,15,1,20,16,0,6,96.0,3,2,0,50,False,False,100.0,7
Bad,75,194,2,78,12,0,100,122.0,7,7,13,2,62,35,1,97,86.0,4,3,3,100,False,False,92.0,13
Good,73,131,6,54,11,0,100,122.0,7,7,11,1,27,0,2,76,98.0,5,1,2,100,False,False,100.0,11
Bad,69,306,8,48,21,0,91,18.0,7,6,37,1,27,35,1,38,77.0,5,3,2,50,True,False,57.0,18
Good,78,263,23,102,19,0,95,31.0,7,6,19,0,42,14,0,17,29.0,6,3,0,82,True,False,100.0,15
Good,78,311,5,72,17,0,100,122.0,7,7,17,3,35,35,1,32,,2,2,1,57,False,False,100.0,9
Good,63,207,5,87,19,0,100,122.0,7,7,20,2,20,0,2,10,32.0,3,3,0,46,False,False,95.0,9
Bad,75,125,10,64,7,0,86,6.0,6,6,7,1,43,10,0,5,79.0,1,2,0,60,True,True,100.0,4
Good,90,230,9,84,26,0,100,122.0,7,7,28,2,57,9,0,1,85.0,1,3,0,44,False,False,93.0,12
Good,59,189,3,107,16,0,60,8.0,6,5,20,1,25,35,0,78,96.0,5,2,2,88,True,True,80.0,17
Good,92,279,1,167,4,0,100,122.0,7,7,5,1,0,0,0,4,,2,2,0,100,False,False,80.0,5
Bad,83,160,12,83,24,0,96,24.0,7,5,26,0,19,0,0,1,19.0,4,2,0,46,True,False,92.0,11
Good,84,184,4,98,22,0,100,122.0,7,7,23,1,57,0,2,6,,2,2,0,50,False,False,96.0,11
Bad,65,79,22,54,6,0,75,8.0,6,5,8,0,38,35,1,77,,4,1,0,100,True,True,75.0,8
Bad,61,344,2,87,21,1,86,2.0,6,6,22,5,45,35,4,39,77.0,2,6,1,67,True,True,95.0,14
Good,85,142,75,106,4,0,100,122.0,7,7,4,0,0,0,0,37,,4,2,0,100,False,False,100.0,4
Good,85,192,5,92,24,0,100,122.0,7,7,26,2,46,5,1,2,91.0,4,2,0,67,False,False,92.0,17
Good,84,140,5,74,22,0,100,122.0,7,7,24,2,14,0,1,36,22.0,1,2,0,30,False,False,92.0,7
Good,85,251,3,66,56,0,100,122.0,7,7,61,4,26,0,4,1,,7,1,0,36,False,False,92.0,21
Good,80,261,8,104,22,0,100,122.0,7,7,22,1,59,35,1,39,76.0,3,2,1,71,False,False,100.0,15
Good,69,183,7,46,21,1,86,20.0,7,2,22,2,45,0,1,36,75.0,1,4,0,56,True,False,95.0,12
Bad,72,247,5,93,19,1,90,6.0,6,3,23,3,19,0,4,46,89.0,2,2,1,67,True,True,83.0,15
Bad,50,214,3,77,22,0,83,1.0,6,6,24,3,46,0,2,82,69.0,12,6,6,100,True,True,92.0,24
Good,54,123,6,54,21,0,88,4.0,6,6,26,3,42,0,0,63,45.0,4,3,1,78,True,True,81.0,20
Bad,72,216,2,79,23,1,85,40.0,7,2,27,4,41,0,0,47,,3,2,1,56,True,False,85.0,15
Good,83,364,3,106,22,1,91,27.0,7,3,28,2,13,0,4,17,,4,1,0,63,True,False,79.0,17
Bad,84,73,6,40,6,0,100,122.0,7,7,6,1,67,0,1,1,91.0,1,2,0,100,False,False,100.0,6
Bad,61,181,3,58,12,4,83,18.0,7,6,12,2,33,0,2,68,65.0,4,3,0,64,True,False,100.0,7
Good,69,138,22,71,8,1,80,38.0,7,5,10,0,70,0,3,30,39.0,4,2,1,100,True,False,80.0,10
Bad,87,213,5,90,15,0,100,122.0,7,7,15,2,27,0,1,3,,4,1,0,56,False,False,100.0,8
Good,91,538,47,212,12,0,100,122.0,7,7,12,0,17,0,0,4,,1,2,0,14,False,False,100.0,1
Bad,73,168,6,75,25,0,100,122.0,7,7,25,2,52,0,0,91,66.0,3,3,1,75,False,False,100.0,18
Good,70,204,20,114,27,0,85,4.0,6,6,27,0,19,0,0,8,,2,1,0,50,True,True,100.0,13
Bad,70,37,4,20,19,0,100,122.0,7,7,20,2,20,0,3,42,73.0,2,2,1,50,False,False,95.0,10
Bad,65,146,7,58,29,1,97,67.5,7,6,33,1,39,35,5,7,88.0,1,2,0,33,True,False,88.0,10
Bad,65,56,1,35,37,0,100,122.0,7,7,39,3,13,0,0,65,93.0,15,2,8,62,False,False,95.0,24
Bad,81,158,13,71,34,0,97,42.0,7,6,37,0,42,1,1,9,86.0,3,5,0,47,True,False,92.0,17
Bad,59,187,2,62,17,0,80,50.0,7,5,20,4,20,20,0,69,,9,1,3,85,True,False,85.0,17
Bad,73,85,6,38,10,0,100,122.0,7,7,10,2,50,0,1,81,,1,1,0,50,False,False,100.0,5
Bad,75,70,1,38,8,0,100,122.0,7,7,9,1,78,0,3,17,,2,1,1,100,False,False,89.0,9
Good,73,135,3,93,6,1,75,79.0,7,4,12,1,67,1,3,0,118.0,0,2,1,67,True,False,50.0,8
Bad,66,188,3,80,17,0,88,4.0,6,6,17,3,82,1,3,6,95.0,1,7,1,89,True,True,100.0,15
Bad,66,187,4,38,18,0,95,62.0,7,5,22,5,36,0,4,46,79.0,6,4,1,92,True,False,82.0,20
Good,80,255,3,55,23,0,100,122.0,7,7,23,3,17,2,5,2,,2,1,0,20,False,False,100.0,4
Good,77,161,2,69,20,0,96,25.0,7,6,23,3,4,16,0,14,,4,2,1,38,True,False,87.0,8
Good,61,308,3,67,58,1,98,10.0,2,2,71,8,21,4,1,53,41.0,3,3,0,64,True,True,82.0,45
Bad,73,163,13,85,27,0,97,52.0,7,6,29,0,41,0,0,34,39.0,4,2,2,60,True,False,93.0,17
Bad,71,218,22,75,22,0,96,27.0,7,5,24,0,39,1,2,3,23.0,4,1,1,56,True,False,92.0,13
Good,87,304,7,91,23,0,100,122.0,7,7,24,1,63,0,0,8,73.0,5,2,0,78,False,False,96.0,18
Good,90,240,1,96,20,0,100,122.0,7,7,22,1,32,0,0,0,77.0,2,3,0,36,False,False,91.0,7
Good,83,183,14,73,17,0,100,122.0,7,7,17,0,35,14,0,20,,3,1,0,44,False,False,100.0,7
Good,88,166,3,92,10,0,100,122.0,7,7,10,1,40,0,2,0,96.0,0,1,0,25,False,False,100.0,2
Good,80,173,8,62,17,0,100,122.0,7,7,18,2,67,0,1,21,93.0,3,3,0,100,False,False,94.0,18
Good,73,354,13,80,25,0,100,122.0,7,7,25,0,8,15,0,36,,10,1,2,61,False,False,100.0,15
Good,71,178,2,68,47,1,98,8.0,6,6,62,2,6,0,5,7,,5,1,0,40,True,True,76.0,24
